,playerID,yearID,BB,HR,RBI,SB,MVP,BA,OBP,SLG
0,acunaro01,2019,76,41,101.0,37.0,0,0.2795527156549521,0.3651685393258427,0.5175718849840255
1,albieoz01,2019,54,24,86.0,15.0,0,0.2953125,0.35185185185185186,0.5
2,altuvjo01,2019,41,31,74.0,6.0,0,0.298,0.35283363802559414,0.55
3,alvaryo01,2019,52,27,78.0,0.0,0,0.31309904153354634,0.41192411924119243,0.6549520766773163
4,anderti01,2019,15,18,56.0,17.0,0,0.3353413654618474,0.35714285714285715,0.5080321285140562
5,arenano01,2019,62,41,118.0,3.0,0,0.31462585034013607,0.37915407854984895,0.5833333333333334
6,bellico01,2019,95,47,115.0,15.0,0,0.3046594982078853,0.40606060606060607,0.6290322580645161
7,belljo02,2019,74,37,116.0,0.0,0,0.27703984819734345,0.367047308319739,0.5692599620493358
8,bettsmo01,2019,97,29,80.0,16.0,0,0.2948073701842546,0.3909348441926346,0.52428810720268
9,bichebo01,2019,14,11,21.0,4.0,0,0.3112244897959184,0.3584905660377358,0.5714285714285714
10,blackch02,2019,40,32,86.0,2.0,0,0.3137931034482759,0.3643533123028391,0.5758620689655173
11,bogaexa01,2019,76,33,117.0,4.0,0,0.30944625407166126,0.3839541547277937,0.5553745928338762
12,brantmi02,2019,51,22,90.0,3.0,0,0.31130434782608696,0.37205651491365777,0.5026086956521739
13,bregmal01,2019,119,41,112.0,5.0,0,0.296028880866426,0.42318840579710143,0.592057761732852
14,bryankr01,2019,74,31,77.0,4.0,0,0.281767955801105,0.38170347003154576,0.5211786372007366
15,cabreas01,2019,19,6,40.0,0.0,0,0.3225806451612903,0.4041095890410959,0.5645161290322581
16,canhama01,2019,67,26,58.0,3.0,0,0.2731707317073171,0.3963782696177062,0.5170731707317073
17,casteni01,2019,10,16,36.0,0.0,0,0.32075471698113206,0.35555555555555557,0.6462264150943396
18,cervefr01,2019,4,2,7.0,0.0,0,0.28125,0.3783783783783784,0.6875
19,contrwi01,2019,38,24,64.0,1.0,0,0.2722222222222222,0.3545232273838631,0.5333333333333333
20,correca01,2019,35,21,59.0,1.0,0,0.2785714285714286,0.3582554517133956,0.5678571428571428
21,cruzne02,2019,56,41,108.0,0.0,0,0.31057268722466963,0.3923076923076923,0.6387665198237885
22,dahlda01,2019,28,15,61.0,4.0,0,0.30213903743315507,0.35279805352798055,0.5240641711229946
23,davisjd01,2019,38,22,57.0,3.0,0,0.3073170731707317,0.3686534216335541,0.526829268292683
24,deverra01,2019,48,32,115.0,8.0,0,0.3106646058732612,0.3609129814550642,0.5548686244204019
25,dickeal01,2019,13,6,26.0,1.0,0,0.2903225806451613,0.3508771929824561,0.5290322580645161
26,dickeco01,2019,13,4,25.0,1.0,0,0.31496062992125984,0.3732394366197183,0.5511811023622047
27,doziehu01,2019,55,26,84.0,2.0,0,0.27915869980879543,0.34812286689419797,0.5219885277246654
28,edmanto01,2019,16,11,36.0,15.0,0,0.30368098159509205,0.3495702005730659,0.5
29,freemfr01,2019,87,38,121.0,6.0,0,0.2948073701842546,0.38872832369942195,0.5494137353433836
30,freesda01,2019,23,11,29.0,0.0,0,0.3148148148148148,0.4032258064516129,0.5987654320987654
31,garvemi01,2019,41,31,67.0,0.0,0,0.2733118971061093,0.3649025069637883,0.6302250803858521
32,haysau01,2019,7,4,13.0,2.0,0,0.3088235294117647,0.37333333333333335,0.5735294117647058
33,hechaad01,2019,6,4,15.0,0.0,0,0.32786885245901637,0.4,0.639344262295082
34,hillisa01,2019,9,7,13.0,2.0,0,0.2727272727272727,0.3563218390804598,0.6493506493506493
35,hiurake01,2019,25,19,49.0,9.0,0,0.30254777070063693,0.367816091954023,0.5700636942675159
36,judgeaa01,2019,64,27,55.0,3.0,0,0.2724867724867725,0.3811659192825112,0.5396825396825397
37,kendrho01,2019,27,17,62.0,2.0,0,0.344311377245509,0.3945945945945946,0.5718562874251497
38,lemahdj01,2019,46,26,102.0,5.0,0,0.3272425249169435,0.3746177370030581,0.5182724252491694
39,luplojo01,2019,33,15,38.0,3.0,0,0.27555555555555555,0.3716475095785441,0.5511111111111111
40,mancitr01,2019,63,35,97.0,1.0,0,0.29069767441860467,0.3637702503681885,0.5348837209302325
41,marteke01,2019,53,32,92.0,10.0,0,0.3286467486818981,0.3885350318471338,0.5922671353251318
42,martijd02,2019,72,36,105.0,2.0,0,0.30434782608695654,0.3826219512195122,0.5565217391304348
43,maybica01,2019,30,11,32.0,9.0,0,0.28451882845188287,0.3643122676579926,0.49372384937238495
44,mcguire01,2019,7,5,11.0,0.0,0,0.29896907216494845,0.34615384615384615,0.5257731958762887
45,mcneije01,2019,35,23,75.0,5.0,0,0.3176470588235294,0.3844797178130511,0.5313725490196078
46,meadoau01,2019,54,33,89.0,12.0,0,0.29056603773584905,0.3637901861252115,0.5584905660377358
47,moncayo01,2019,40,25,79.0,10.0,0,0.3150684931506849,0.3673835125448029,0.547945205479452
48,olsonma02,2019,51,36,91.0,0.0,0,0.2670807453416149,0.3510054844606947,0.5445134575569358
49,pencehu01,2019,26,18,59.0,6.0,0,0.2972027972027972,0.3575949367088608,0.5524475524475524
50,puellce01,2019,3,3,12.0,0.0,0,0.3902439024390244,0.5,0.6829268292682927
51,rendoan01,2019,80,34,126.0,5.0,0,0.3192660550458716,0.4117647058823529,0.5981651376146789
52,reynobr01,2019,46,16,68.0,3.0,0,0.3136456211812627,0.3772893772893773,0.5030549898167006
53,riosed01,2019,9,4,8.0,0.0,0,0.2765957446808511,0.39285714285714285,0.6170212765957447
54,rizzoan01,2019,71,27,94.0,5.0,0,0.29296875,0.40456769983686786,0.51953125
55,santaca01,2019,108,34,93.0,4.0,0,0.28097731239092494,0.3965014577259475,0.5148342059336823
56,semiema01,2019,87,33,92.0,10.0,0,0.2846270928462709,0.36947791164658633,0.5220700152207002
57,smithdo02,2019,19,11,25.0,1.0,0,0.2824858757062147,0.3553299492385787,0.5254237288135594
58,solakni01,2019,15,5,17.0,2.0,0,0.29310344827586204,0.3925925925925926,0.49137931034482757
59,sotoju01,2019,108,34,110.0,12.0,0,0.2822878228782288,0.4006069802731411,0.5479704797047971
60,springe01,2019,67,39,96.0,6.0,0,0.29227557411273486,0.3830935251798561,0.5908141962421712
61,stantmi03,2019,12,3,13.0,0.0,0,0.288135593220339,0.4027777777777778,0.4915254237288136
62,storytr01,2019,58,35,85.0,23.0,0,0.2942176870748299,0.3628048780487805,0.5544217687074829
63,suareeu01,2019,70,49,103.0,3.0,0,0.271304347826087,0.3580060422960725,0.5721739130434783
64,tatisfe02,2019,30,22,53.0,16.0,0,0.31736526946107785,0.3790322580645161,0.5898203592814372
65,tauchmi01,2019,34,13,47.0,6.0,0,0.27692307692307694,0.3614864864864865,0.5038461538461538
66,thomala02,2019,4,4,12.0,1.0,0,0.3157894736842105,0.4090909090909091,0.6842105263157895
67,troutmi01,2019,110,45,104.0,11.0,0,0.29148936170212764,0.43833333333333335,0.6446808510638298
68,turneju01,2019,51,27,67.0,2.0,0,0.29018789144050106,0.37158469945355194,0.5093945720250522
69,turnetr01,2019,43,19,57.0,35.0,0,0.29750479846449135,0.3532513181019332,0.4971209213051823
70,urshegi01,2019,25,21,74.0,1.0,0,0.31447963800904977,0.3550420168067227,0.5339366515837104
71,yelicch01,2019,80,44,97.0,30.0,0,0.3292433537832311,0.42931034482758623,0.6707566462167689
